threshold,fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.506265664160400863e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.012531328320801727e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.518796992481202590e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.002506265664160345e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.253132832080200432e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.503759398496240518e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.754385964912280604e-02,0.000000000000000000e+00,3.333333333333333547e-03
2.005012531328320691e-02,0.000000000000000000e+00,3.333333333333333547e-03
2.255639097744360777e-02,0.000000000000000000e+00,3.333333333333333547e-03
2.506265664160400863e-02,0.000000000000000000e+00,3.333333333333333547e-03
2.756892230576440950e-02,0.000000000000000000e+00,3.333333333333333547e-03
3.007518796992481036e-02,0.000000000000000000e+00,3.333333333333333547e-03
3.258145363408521122e-02,0.000000000000000000e+00,6.666666666666667095e-03
3.508771929824561209e-02,0.000000000000000000e+00,1.333333333333333419e-02
3.759398496240601295e-02,0.000000000000000000e+00,1.666666666666666644e-02
4.010025062656641381e-02,0.000000000000000000e+00,2.000000000000000042e-02
4.260651629072681468e-02,0.000000000000000000e+00,2.333333333333333440e-02
4.511278195488721554e-02,0.000000000000000000e+00,2.666666666666666838e-02
4.761904761904761640e-02,0.000000000000000000e+00,2.666666666666666838e-02
5.012531328320801727e-02,0.000000000000000000e+00,2.999999999999999889e-02
5.263157894736841813e-02,0.000000000000000000e+00,2.999999999999999889e-02
5.513784461152881899e-02,0.000000000000000000e+00,3.666666666666666685e-02
5.764411027568921986e-02,0.000000000000000000e+00,5.000000000000000278e-02
6.015037593984962072e-02,0.000000000000000000e+00,5.000000000000000278e-02
6.265664160401002158e-02,0.000000000000000000e+00,5.000000000000000278e-02
6.516290726817042245e-02,0.000000000000000000e+00,6.333333333333333870e-02
6.766917293233082331e-02,0.000000000000000000e+00,7.000000000000000666e-02
7.017543859649122417e-02,0.000000000000000000e+00,7.333333333333333370e-02
7.268170426065162504e-02,0.000000000000000000e+00,8.000000000000000167e-02
7.518796992481202590e-02,0.000000000000000000e+00,8.999999999999999667e-02
7.769423558897242676e-02,0.000000000000000000e+00,9.333333333333333759e-02
8.020050125313282763e-02,0.000000000000000000e+00,1.133333333333333276e-01
8.270676691729322849e-02,0.000000000000000000e+00,1.266666666666666774e-01
8.521303258145362935e-02,0.000000000000000000e+00,1.300000000000000044e-01
8.771929824561403022e-02,0.000000000000000000e+00,1.366666666666666585e-01
9.022556390977443108e-02,0.000000000000000000e+00,1.499999999999999944e-01
9.273182957393483195e-02,0.000000000000000000e+00,1.533333333333333215e-01
9.523809523809523281e-02,0.000000000000000000e+00,1.666666666666666574e-01
9.774436090225563367e-02,0.000000000000000000e+00,1.700000000000000122e-01
1.002506265664160345e-01,0.000000000000000000e+00,1.833333333333333204e-01
1.027568922305764354e-01,0.000000000000000000e+00,2.066666666666666652e-01
1.052631578947368363e-01,0.000000000000000000e+00,2.133333333333333470e-01
1.077694235588972371e-01,0.000000000000000000e+00,2.399999999999999911e-01
1.102756892230576380e-01,2.000000000000000096e-04,2.500000000000000000e-01
1.127819548872180389e-01,2.000000000000000096e-04,2.600000000000000089e-01
1.152882205513784397e-01,2.000000000000000096e-04,2.633333333333333082e-01
1.177944862155388406e-01,2.000000000000000096e-04,2.800000000000000266e-01
1.203007518796992414e-01,2.000000000000000096e-04,2.999999999999999889e-01
1.228070175438596423e-01,2.000000000000000096e-04,3.200000000000000067e-01
1.253132832080200432e-01,2.000000000000000096e-04,3.266666666666666607e-01
1.278195488721804440e-01,2.000000000000000096e-04,3.333333333333333148e-01
1.303258145363408449e-01,2.000000000000000096e-04,3.400000000000000244e-01
1.328320802005012458e-01,2.000000000000000096e-04,3.499999999999999778e-01
1.353383458646616466e-01,2.000000000000000096e-04,3.599999999999999867e-01
1.378446115288220475e-01,2.000000000000000096e-04,3.633333333333333415e-01
1.403508771929824483e-01,2.000000000000000096e-04,3.666666666666666408e-01
1.428571428571428492e-01,2.000000000000000096e-04,3.866666666666666585e-01
